,Genre,BeatsPerMinute(Tempo),Chroma STFT 1,Chroma STFT 2,Chroma STFT 3,Chroma STFT 4,Chroma STFT 5,Chroma STFT 6,Chroma STFT 7,Chroma STFT 8,Chroma STFT 9,Chroma STFT 10,Chroma STFT 11,Chroma STFT 12,MFCC 1,MFCC 2,MFCC 3,MFCC 4,MFCC 5,MFCC 6,MFCC 7,MFCC 8,MFCC 9,MFCC 10,MFCC 11,MFCC 12,MFCC 13,MFCC 14,MFCC 15,MFCC 16,MFCC 17,MFCC 18,MFCC 19,MFCC 20,RootMeanSquare,SpectralCentroid,SpectralRolloff,ZeroCrossingRate Sum
10,Kpop,135.99917763157896,0.230622336268425,0.0485898070037364,0.0305672492831945,0.03992710262537,0.019337797537446,0.053509347140789,0.3018048107624054,0.0827027112245559,0.0260872039943933,0.0351146385073661,0.1885184943675995,1.0,-50.69635009765625,63.20288848876953,-38.84567260742188,-6.911562919616699,-6.5065202713012695,-34.01776885986328,2.278369665145874,-6.995944023132324,-0.9798136949539183,-10.411619186401367,-15.08245086669922,-18.72320556640625,1.217442512512207,-8.057104110717773,-6.024123668670654,2.583669424057007,-13.941044807434082,-12.503776550292969,1.6932045221328735,6.317745208740234,0.1170980827608061,2850.784363111401,6018.5302734375,107860
11,Kpop,135.99917763157896,0.1970037221908569,0.0484096072614192,0.0223638545721769,0.0356020517647266,0.02552948333323,0.0564299635589122,0.3162334859371185,0.0705040320754051,0.0174296908080577,0.025097619742155,0.1947322189807891,1.0,-53.85829162597656,62.9683837890625,-31.180892944335938,-7.742465019226074,-3.705179214477539,-35.49577331542969,-6.400240898132324,-11.189716339111328,-2.770537853240967,-14.700047492980955,-17.68653106689453,-14.916114807128906,-0.7839111089706421,-3.695780754089356,-16.167957305908203,4.435368061065674,-10.443117141723633,-10.657947540283203,2.3310489654541016,3.4992787837982178,0.1186502362287812,2883.5435489357787,6384.5947265625,107860
12,Kpop,135.99917763157896,0.2740151584148407,0.0575169399380683,0.0188560616225004,0.0309547428041696,0.0242299679666757,0.0453553460538387,0.3351872265338897,0.1018908470869064,0.020324733108282,0.0366815961897373,0.1709876209497451,1.0,-42.79200744628906,59.46441650390625,-23.627609252929688,-8.106722831726074,-7.914150238037109,-28.95488739013672,-7.485557556152344,-5.975590229034424,-1.5024007558822632,-8.072391510009766,-25.075870513916016,-16.244783401489258,-4.273987770080566,-5.751331329345703,-13.213052749633787,1.7655996084213257,-8.67776107788086,-14.10989761352539,1.7111961841583252,-0.818302571773529,0.1180693546365606,2932.975426853099,6836.7919921875,107860
13,Kpop,135.99917763157896,0.2598537504673004,0.1022076234221458,0.0468136109411716,0.0385293401777744,0.0293755270540714,0.095984548330307,0.2462193816900253,0.0603382997214794,0.034297477453947,0.1054773181676864,0.5252241492271423,1.0,-14.26684284210205,60.41123962402344,-20.60431289672852,2.65315055847168,-9.925540924072266,-18.85666275024414,-6.242814064025879,3.0923280715942383,4.254180908203125,-6.857198238372803,-26.027009963989254,-14.628070831298828,-4.266876697540283,-9.11428165435791,-4.532057285308838,2.677531480789185,-5.447898864746094,-18.048158645629883,-2.452059030532837,-3.340781688690185,0.1161741230457905,2925.096728090539,6309.228515625,107860
14,Kpop,135.99917763157896,0.1783915311098098,0.2177125811576843,0.1026812642812728,0.04385681822896,0.0823401287198066,0.1242908537387847,0.0902338325977325,0.0413754805922508,0.1057400107383728,0.6105446219444275,1.0,0.5367847084999084,-20.490190505981445,61.54236602783203,-18.227468490600582,6.336018562316895,-9.756380081176758,-27.175806045532227,-6.811124324798584,9.195154190063477,6.416281223297119,-7.407705307006836,-30.652606964111328,-15.62418270111084,-3.4876091480255127,-8.207557678222656,-6.747490882873535,4.382413387298584,-2.2312207221984863,-18.6934814453125,-1.867530345916748,-6.222660064697266,0.0958217158566644,2989.097765805022,6449.1943359375,107860
15,Kpop,135.99917763157896,0.0979267731308937,0.199728786945343,0.0654897689819336,0.0528163239359855,0.1460663378238678,0.0493713021278381,0.0302225835621356,0.0410137772560119,0.2497962564229965,1.0,0.3654018342494964,0.1055687591433525,-56.82516098022461,63.14478302001953,-11.424354553222656,2.027294158935547,-2.3705310821533203,-40.44041442871094,-8.121807098388672,4.93951416015625,-3.6868062019348153,-4.224173545837402,-30.005300521850582,-18.89166259765625,-8.060281753540039,-4.355074882507324,-11.413179397583008,7.1767449378967285,-2.089630603790283,-21.567705154418945,5.576598167419434,-9.764602661132812,0.0758795968936237,3217.8928472537127,7536.62109375,107860
16,Kpop,135.99917763157896,0.0678658112883567,0.1309093683958053,0.0449806526303291,0.059857252985239,0.180777445435524,0.0397277846932411,0.0221730694174766,0.0558982640504837,0.399169385433197,1.0,0.2228270769119262,0.0800122320652008,-63.08308029174805,60.33256530761719,-7.62446403503418,4.913670539855957,9.815168380737305,-37.73641204833984,-11.73980712890625,-2.464420795440674,-4.96537971496582,-0.933006465435028,-27.39327812194824,-18.204593658447266,-9.53314971923828,1.7982137203216553,-14.879897117614746,12.13697338104248,0.1871377229690551,-21.815563201904297,7.024109840393066,-11.904641151428224,0.0791441014195671,3449.6996429345854,7967.28515625,107860
17,Kpop,135.99917763157896,0.0837704464793205,0.1920489519834518,0.1356366276741027,0.1274662315845489,0.2276247590780258,0.0979023352265358,0.0975817143917083,0.1986360400915146,0.4746213853359222,1.0,0.3909038007259369,0.1034409552812576,-3.03891658782959,74.19925689697266,-18.530851364135746,6.005179405212402,4.695217132568359,-27.41741943359375,-14.612954139709473,-1.0826432704925537,-11.635778427124023,0.7655429840087891,-18.75843048095703,-13.397598266601562,-12.786392211914062,0.12268728017807,-12.381429672241213,1.765645980834961,-2.5928778648376465,-12.83079433441162,9.263134002685549,-4.854149341583252,0.1109454160538993,2908.680888529353,6869.091796875,107860
18,Kpop,135.99917763157896,0.1082825437188148,0.2528863549232483,0.1655585169792175,0.15716053545475,0.2494692057371139,0.1301210522651672,0.1209788843989372,0.2272370159626007,0.446021020412445,1.0,0.4394031763076782,0.1049804911017417,21.832630157470703,75.80401611328125,-20.751489639282227,8.696775436401367,7.493368148803711,-19.08138656616211,-13.42770004272461,1.2636942863464355,-12.967809677124023,1.916441798210144,-16.195846557617188,-10.497854232788086,-12.059836387634276,-1.2723853588104248,-10.99134349822998,1.116559624671936,-2.14888334274292,-11.492919921875,7.358721733093262,-2.446096897125244,0.1349700124204171,2853.3150871278367,6395.361328125,107860
19,Kpop,135.99917763157896,0.089706651866436,0.241319477558136,0.0788972750306129,0.0678517296910286,0.1861101388931274,0.0728887617588043,0.057087417691946,0.1028090417385101,0.2849054932594299,1.0,0.4347215592861175,0.097050592303276,-8.614740371704102,63.26587677001953,-17.78915023803711,3.472322940826416,9.318402290344238,-22.5669002532959,-12.648900985717772,1.038440227508545,-13.011428833007812,2.01669716835022,-16.49445915222168,-11.656312942504885,-10.983757019042969,-0.370972216129303,-12.371618270874023,6.911648750305176,0.1991270780563354,-17.04857635498047,7.48643684387207,-5.282189846038818,0.1087517992986164,3265.0056938783277,7428.955078125,107860
